customer_message,predicted_intent,generated_response,human_relevance,human_actionability,human_safety,human_grounding,human_overall,human_notes
"408-6016305-4794733 This is the order number. You track the history. If you can help, help me else I will take the loss and goodbye Amazon",Order Tracking / Status,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Appropriate human escalation because the customer is asking for order-history investigation, but the response does not provide any immediate next steps."
We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Appropriate escalation because the customer reports a return and delivery-team issue involving multiple products, but the response gives no specific next steps."
any reason why prime delivery of products showing as Monday? I ordered something on Friday thinking it would arrive today. Everything seems the same...,Delivery Delay,This request should be reviewed by a human support agent.,3.0,1.0,5.0,3.0,2.0,Customer message:
"my delivery date says pending, but before it said the 11th. Does this mean that you're unsure when I'll get my package?",Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",3.0,1.0,5.0,3.0,2.0,"The response is related to the delivery concern, but unnecessary for a routine delivery-date question and provides no useful next steps."
Pranam. Which language you guys understand.bcoz of your False commitment i give alternate Address. Dont want delivery sud atmp there,Payment / Billing,This request should be reviewed by a human support agent.,4.0,2.0,5.0,4.0,3.0,"Human escalation is appropriate for the delivery and address issue, but the response provides no specific next steps and the predicted intent is incorrect."
I HATE YOUR CUSTOMER SERVICE AHHHHHHHHHHHHH,Customer Support / Complaint,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"The customer is directly complaining about customer service, so human escalation is appropriate, but the response provides no specific next steps."
hai team amazon where is my refund amount,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",5.0,4.0,5.0,4.0,4.0,"The response correctly addresses the customer's refund question and provides relevant next steps, although it does not give a specific refund status or timeframe."
"This is the 3rd Amazon Prime order in a row that has missed the ""guaranteed delivery by"" date. All were shipped with AMZL US.",Order Tracking / Status,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"The escalation is appropriate because the customer reports repeated missed guaranteed delivery dates, but the response provides no specific next steps."
as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",5.0,4.0,5.0,4.0,4.0,"The response correctly addresses the customer's concern about a long delivery time and provides useful next steps, although it does not explain why the estimated delivery is so long."
No it was just everything that I looked at that is #prime doesn't show as being available to deliver the next day. I sort of suspected that you have dropped this for certain items.,Delivery Delay,This request should be reviewed by a human support agent.,5.0,4.0,5.0,4.0,4.0,"The response appropriately escalates the customer's concern about Prime delivery availability, but it does not provide a specific explanation or next step."
I’ve found a parcel at my door that’s not mine.Googled address and it’s not recognised. How do I return it ?,Delivered but Not Received,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate because the customer received someone else's parcel and needs guidance on returning it, but the response provides no specific instructions."
I understand you guys are following up but it's already 72 hours past your initial timeline of 48-72 hours! Let me know a proper time line!,Delivery Delay,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the promised resolution timeline has already been exceeded and the customer is requesting a specific timeline, but the response does not provide any immediate next step or timeline."
Day 4 no delivery no reply no response You all have from bad to horrible new levels of achieving customer satisfaction,Customer Support / Complaint,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"The escalation is appropriate because the customer reports a four-day delivery issue along with no response, but the response provides no specific next steps."
Had the best customer service ever. The woman was from Jamaica and sang Bob Marley down the phone to me...,Customer Support / Complaint,This request should be reviewed by a human support agent.,2.0,1.0,5.0,3.0,2.0,The customer is praising the customer service rather than reporting a problem. Escalation is unnecessary and the response provides no useful action.
still Issue with you amazon delivery became to late more than two days am ordering product for me not for your hub,Delivery Delay,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate for the delivery delay complaint, but the response provides no specific next steps."
Can't add money to Amazon Pay. On 21 Sept your executive said it will be solved in 48 hours. Is the period over yet?,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",5.0,4.0,5.0,4.0,4.0,"The response provides relevant payment-related next steps, although it does not address the promised 48-hour timeline specifically."
I've still not received any sort of response whether helpful or not. I really expected more from Amazon,Non-actionable / Exclude,This request should be reviewed by a human support agent.,4.0,2.0,5.0,4.0,3.0,"Escalation is relevant because the customer has received no response, but the message does not identify a specific underlying issue."
"One of your teams told me to change my address to get delivered to, and lied in email telling me it would be here today. It's not.",Account / Login / Security,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate because the customer reports an address and delivery commitment issue, but no specific next step is provided."
They work then they crash or the audio doesn’t match up with what’s happening,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is relevant to the reported technical issue, but the response provides no troubleshooting steps."
Billing address is same as Shipping address. Could you please check I'm not able to change. Order 402-6608900-3256313,Payment / Billing,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is appropriate because the customer needs help changing billing information, but the response provides no specific assistance."
order no 405-9749390-2072353... No one even attempted to deliver it and now I got the message that it's being returned back..,Delivered but Not Received,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the order is being returned without an attempted delivery, but the response gives no next steps."
The order was paid and the delivered option is showing signed by me this is offence of the privacy by your side,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",4.0,4.0,5.0,4.0,4.0,"The response addresses the delivered-but-not-received concern and recommends investigation, although the privacy allegation is not specifically addressed."
"Yes, due to a charge back for undelivered goods. Kind of important to unlock my account, since everything here is literally, Amazon.",Payment / Billing,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is appropriate because the customer mentions an account-unlock issue connected to a chargeback, but the response gives no specific next steps."
. . I want return this product help me asap 9555280010,Return / Refund,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"The response appropriately escalates the return request, but it does not provide any specific return instructions."
I have already sent a mail yesterday at 9pm & called customer care but no response as of now. Marked mail to Jeff also.#fraud,Delivered but Not Received,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate because the customer reports unresolved support contact and possible fraud, but no immediate next steps are provided."
I just want to know if the package is out for delivery this morning. I need it by 3pm and it doesn't say what carrier it is,Order Tracking / Status,You can check the latest order status and tracking information from your Amazon orders page. This will show the current shipment status and estimated delivery date.,5.0,4.0,5.0,5.0,5.0,The response directly addresses the tracking request and provides clear next steps through the Amazon orders page.
"my order is still not fucking delivered , I want a fucking proper service",Delivered but Not Received,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human escalation is appropriate because the customer is reporting a delivery problem and requesting better service, but no specific next step is given."
When your amazon prime package was to be delivered yesterday and tracking says they don't know when now??? Really???,Prime Membership / Benefits,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate for the missed delivery expectation and unclear tracking status, but the response provides no specific guidance."
missing component and your saying simply sorry wah Jeff this is how you run amazon USA ??,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is appropriate for the missing-component complaint, but the response does not provide replacement or resolution steps."
my package for Amazon pantry is delayed and UPS has no info. Having it delivered to a hotel where I'm checking out tomorrow. If it doesn't come today I don't want it. I was promised prime delivery,Delivery Delay,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the delayed package has a time-sensitive hotel delivery issue and a Prime delivery expectation, but no specific next step is given."
But I haven’t even consented to prime before I want my money back,Return / Refund,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is appropriate because the customer disputes a Prime subscription and requests a refund, but the response gives no refund instructions."
Error on Amazon Jobs site after completing survey. Android 5.1 and Chrome 61,Non-actionable / Exclude,This request should be reviewed by a human support agent.,4.0,2.0,5.0,3.0,3.0,"The response is relevant to the reported technical issue, but it provides no troubleshooting or specific next steps."
After so many conversation again you are failed to help me. stop this type of activities and don't make fool again n again..Big Big Shame on Amazon.in,Non-actionable / Exclude,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the customer is complaining about repeated failure to resolve an issue, but no specific next step is provided."
"Still i have not received this product, this is really really pathetic",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Human review is appropriate for the missing delivery complaint, but the response does not provide any immediate guidance."
I order an item to be delivered on Friday delivery then says rescheduled at customer request which I didn’t then called amazon who said,Delivery Delay,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is appropriate because the customer disputes a delivery rescheduling decision, but the response provides no specific resolution steps."
Hey thanks for the link. Couple of agents were not able to fix the issue. They have asked for further 24-48hrs,Non-actionable / Exclude,This request should be reviewed by a human support agent.,5.0,2.0,5.0,4.0,4.0,"Escalation is reasonable because previous agents failed to resolve the issue, although the customer has already been given a 24–48 hour timeframe."
