customer_tweet_id,customer_message,true_intent,predicted_intent,confidence,correct
1108748,"My last package went missing while you people marked final status as ""Delivered"" It was a clear fraud and has happened with many known ones.",Delivered but Not Received,Delivered but Not Received,0.6506052,True
1026974,Loosing hope that this will be delivered today 😩😩😩,Delivery Delay,Delivery Delay,0.27212232,True
445581,That the items 'should' be delivered today... Although the app still says 22-24?,Delivery Delay,Delivery Delay,0.42535296,True
438710,"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",Delivery Delay,Delivered but Not Received,0.38982198,False
102904,Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product # Solve my problem can't solve.They don't have power.,Wrong / Damaged / Defective Item,Wrong / Damaged / Defective Item,0.5591367,True
689491,your website says my parcel has been delivered and handed to me. It hasn’t. Please advise. I am sick of having to contact you because of terrible service.,Delivered but Not Received,Delivered but Not Received,0.665759,True
163482,We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Return / Refund,Wrong / Damaged / Defective Item,0.3786879,False
584555,No birthday present for my grandson. Got a text saying delivered by 8pm. Yesterday. No delivery yet! Grrr,Delivery Delay,Delivery Delay,0.40405178,True
861277,"I'm a little sad/frustrated that my #FEWarriorsmore than likely won't be delivered today because of ""weather"". Amazon let me down again. :/",Delivery Delay,Delivery Delay,0.38213968,True
985101,as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,Delivery Delay,Delivery Delay,0.5498357,True
746813,"my order is still not fucking delivered , I want a fucking proper service",Delivery Delay,Delivered but Not Received,0.46798965,False
163638,"Hi, my parcel is showing as delivered at 16:18 but it isn't here, nor has it been left in any safe place or a note left?",Delivered but Not Received,Delivered but Not Received,0.64850086,True
274761,"you have cheated me. guys never trust this brand. haven't delevered the product and saying your product is delivered. Investigation tram, delevery boy are your u making me fool.",Delivered but Not Received,Wrong / Damaged / Defective Item,0.25730824,False
513460,That it was dispatched and attempted to be delivered at 5pm. But my mum was downstairs the entire time and I was upstairs the entire time. We heard nothing and there was no note.,Delivery Delay,Delivered but Not Received,0.55827767,False
351141,Ordered a product on 24th Sept & gonna get delivered on 11th Oct I want it any how by 10th Oct. Ask the seller to deliver asap.,Delivery Delay,Order Tracking / Status,0.40408307,False
885486,"One of your teams told me to change my address to get delivered to, and lied in email telling me it would be here today. It's not.",Delivery Delay,Account / Login / Security,0.24394801,False
682483,"The orders are continuously being marked as delivered without actual delivery. Several complaints, no result #Pathetic #Unreliable",Delivered but Not Received,Delivered but Not Received,0.6557672,True
1123583,Pathetic delivery service of Amazon in Pune....Order reached warehouse on Oct 11 and still not delivered till now....,Delivery Delay,Delivered but Not Received,0.27153778,False
348033,I order an item to be delivered on Friday delivery then says rescheduled at customer request which I didn’t then called amazon who said,Delivery Delay,Delivery Delay,0.19330299,True
531620,The order was paid and the delivered option is showing signed by me this is offence of the privacy by your side,Delivered but Not Received,Delivered but Not Received,0.6937846,True
200031,Need help with my amazon fire stick.,Non-actionable / Exclude,Product / App / Website Issue,0.7084819,False
1114339,"hi, need help regarding exchange offers. Kindly contact ASAP.",Non-actionable / Exclude,Non-actionable / Exclude,0.3603507,True
331368,Wow I am unable to find option for my problem..can't you guys help? Or any contact number..I m in US and m recieving waves of messages,Non-actionable / Exclude,Account / Login / Security,0.18301181,False
299994,Need support on the stat! Help me get rid of my phone kappa.,Non-actionable / Exclude,Product / App / Website Issue,0.2950574,False
287854,"408-6016305-4794733 This is the order number. You track the history. If you can help, help me else I will take the loss and goodbye Amazon",Order Tracking / Status,Order Tracking / Status,0.47978622,True
329187,After so many conversation again you are failed to help me. stop this type of activities and don't make fool again n again..Big Big Shame on Amazon.in,Customer Support / Complaint,Non-actionable / Exclude,0.2642996,False
351837,the packaging of Philips qt4011 trimmer is different.is this the original product or duplicate?.pls help.,Wrong / Damaged / Defective Item,Wrong / Damaged / Defective Item,0.5919387,True
1057341,ordered a book on the website. Not yet delivered and seller not responding. Please help,Delivery Delay,Wrong / Damaged / Defective Item,0.19474971,False
815597,Support reps could not understand my problem and gave me unrelated advice. :/ Please help!,Customer Support / Complaint,Customer Support / Complaint,0.42548937,True
1071139,help! Need to cancel a music order but don't see how,Order Cancellation,Order Cancellation,0.859502,True
367929,. . I want return this product help me asap 9555280010,Return / Refund,Return / Refund,0.4052777,True
1041263,"hi, I'm having trouble logging into my account. Could you help please?",Account / Login / Security,Account / Login / Security,0.9254711,True
1035091,I already spoke to customer support team. No help. Same old template answers & reactive responses. Not addressing lost opportunity.,Customer Support / Complaint,Customer Support / Complaint,0.4864092,True
1073290,how can I call to file a claim? I bought from a seller I think is fake. OMG!!! I do not see file claim link on order. HELP ME!!!,Wrong / Damaged / Defective Item,Return / Refund,0.34694996,False
726353,What happened to your logistics prowess? There have been MULTIPLE screw ups in 1 order and your help team is incompetent.,Customer Support / Complaint,Customer Support / Complaint,0.4918713,True
930159,"Are you able to provide invoices to purchases that appear on a credit card statement? I only have the purchase date, amount and credit card number. Please help!!!",Payment / Billing,Payment / Billing,0.6376797,True
83504,"contacted you yesterday about this, and today over live chat. No one can tell me if there is a shipping delay or what is going on with my Xenoblade 2 preorder. Ordered on 9/29. Any help?",Delivery Delay,Delivery Delay,0.37947083,True
742398,"Can u tell me how to replace, what should i do for replacement, any link for replacement complaint. Help plzz",Wrong / Damaged / Defective Item,Wrong / Damaged / Defective Item,0.611425,True
547928,"what is going on? I've emailed the community help for 3 solid weeks about an issue with no answer! Not even a ""we got the email"". Nothing! #whatcustomerservice #frustrated",Customer Support / Complaint,Customer Support / Complaint,0.40242076,True
239746,I shared a sceenshot of mail chain ..which tells that i dint get any reply since 10 days.. ppl r seeing herevhow pathetic amazon help is. !,Customer Support / Complaint,Non-actionable / Exclude,0.14734809,False
936122,Why don’t you have all the color options? 🤔,Non-actionable / Exclude,Non-actionable / Exclude,0.4288166,True
56835,4 days since form filled! no updates since then. Shows how much you guys are concerned! Y waste our time by filling dse forms then?,Customer Support / Complaint,Delivery Delay,0.28246045,False
226406,Chat function was not available. I sent an email using the mailing facility on the link in your previous message.,Product / App / Website Issue,Non-actionable / Exclude,0.30617788,False
133767,still waiting for a refund...,Return / Refund,Return / Refund,0.84121656,True
1121265,No reason given. Carrier is USPS. I got my normal mail today.,Non-actionable / Exclude,Delivery Delay,0.24656646,False
27826,I’ve found a parcel at my door that’s not mine.Googled address and it’s not recognised. How do I return it ?,Return / Refund,Delivered but Not Received,0.44619387,False
153719,Like this safe place? 😡,Non-actionable / Exclude,Non-actionable / Exclude,0.5394437,True
47947,how could u do this to me,Non-actionable / Exclude,Non-actionable / Exclude,0.5554906,True
101206,"I'm honestly not sure. I wasn't necessarily expecting it the same day, but I did think it would arrive the same week, or at the very least the same month!",Delivery Delay,Delivery Delay,0.62425584,True
300045,Please check the root of this chain you'll find it easily,Non-actionable / Exclude,Non-actionable / Exclude,0.44030198,True
1004617,I have instigated a chat as the only option it gave was to call a US number!,Product / App / Website Issue,Order Tracking / Status,0.21993731,False
24951,I have added my email address with the account kindly get back with the resolution,Account / Login / Security,Account / Login / Security,0.6862517,True
274802,"And to top it off, one of the items, my 14year old son saved up his allowance and I had to tell him 3 times that it won't arrive in time. That is just crap.",Delivery Delay,Wrong / Damaged / Defective Item,0.16620196,False
597943,"yup. That's what we tried. On the receiving end they see this, when they are logged in",Non-actionable / Exclude,Account / Login / Security,0.24624474,False
277092,Instead of typing above MSG you should have contacted me if you r really concerned isn't it,Customer Support / Complaint,Non-actionable / Exclude,0.26319787,False
771378,u are #1 but not in this instance. I needed this hat now. Plz DM me to fix #CustomerService #business #travel,Delivery Delay,Non-actionable / Exclude,0.29201826,False
558493,"Oh boy, my serger arrived at my mom's house like this... Wtf ? With all the theft of packages that happens you ship a $200 serger without a box?",Wrong / Damaged / Defective Item,Delivered but Not Received,0.41044867,False
1097670,Yes! 3 times I’ve uninstalled. And yes im receiving an error message,Product / App / Website Issue,Product / App / Website Issue,0.40083802,True
566693,My package was due yesterday and now it’s two days late 🙄🙄,Delivery Delay,Delivery Delay,0.4446587,True
813226,"hey !! Episode 3-6 is showing not available , come on man. ! #LaakhonMeinEk",Product / App / Website Issue,Product / App / Website Issue,0.21568553,True
693879,Thanks for letting me know.😍😍😘 Amazon,Non-actionable / Exclude,Non-actionable / Exclude,0.6561593,True
246347,"It's working, thanks!",Non-actionable / Exclude,Non-actionable / Exclude,0.6066072,True
230858,"Okay, thanks for your help 👍🏻",Non-actionable / Exclude,Non-actionable / Exclude,0.8454885,True
702995,Thanks! I know they're not from Amazon 🤖,Non-actionable / Exclude,Non-actionable / Exclude,0.3689875,True
805571,Not camaflouged but complimentary hence unexpected and almost went unnoticed. Thanks again. :),Non-actionable / Exclude,Non-actionable / Exclude,0.44846228,True
558461,what happened to Lucifer? Seems stuck on episode 8 of current season? Thanks,Product / App / Website Issue,Product / App / Website Issue,0.6209885,True
315275,thanks my query has been resolved.. 😀 Look forward to shop more,Non-actionable / Exclude,Non-actionable / Exclude,0.75404054,True
535162,"Thanks submitted the feedback, please make sure I get a properly sealed replacement.",Wrong / Damaged / Defective Item,Wrong / Damaged / Defective Item,0.42157707,True
191698,Thanks for nothing you advertise beta codes so I preorder then u don’t deliver so u cancel. Guess I’ll skip,Order Cancellation,Order Cancellation,0.35731918,True
782701,Hey thanks for the link. Couple of agents were not able to fix the issue. They have asked for further 24-48hrs,Customer Support / Complaint,Non-actionable / Exclude,0.28496504,False
257132,can you look into this please? Ordered in May and still not here! Thanks.,Delivery Delay,Order Tracking / Status,0.40809375,False
687882,"Hello, do you deliver to Lubumbashi - Drc. Thanks",Non-actionable / Exclude,Non-actionable / Exclude,0.43334994,True
437319,All done. Thanks.,Non-actionable / Exclude,Non-actionable / Exclude,0.7421085,True
449965,"Thanks. I got that far but none of the ""What can we help you with?"" options seemed applicable.",Product / App / Website Issue,Non-actionable / Exclude,0.69326895,False
531692,I'm a Prime customer & ordered immediately a book promoted by you as having dropped to $1.99 only to be charged its full price. Confused. Thanks for help!,Payment / Billing,Payment / Billing,0.49570906,True
810793,"Greetings sir, Had written to you regarding my worst exp of my order got a reply from ur side, thanks, I really appreciate (1/2)",Non-actionable / Exclude,Non-actionable / Exclude,0.3306966,True
726329,Thanks for the speedy help! All fixed and replacement ordered! Phew! 💕,Non-actionable / Exclude,Wrong / Damaged / Defective Item,0.39687848,False
1152724,That worked. Thanks!,Non-actionable / Exclude,Non-actionable / Exclude,0.7208023,True
678256,"Thanks. When I follow the link to the item from my order, it says I could have it by the weekend if I ordered today.",Order Tracking / Status,Delivery Delay,0.3104515,False
729529,When is S3 of Fear:TWD coming? Don't have BT tv or willingness to go to dodgy websites to watch :) Thanks,Product / App / Website Issue,Non-actionable / Exclude,0.27120623,False
575414,"When you pay for prime with 2 day shipping, and it's been 4 days and you still have no package and no date on when you'll even get it. No worries, not like it's the Christmas season or anything!!",Delivery Delay,Delivery Delay,0.44970688,True
