customer_tweet_id,customer_message,intent,confidence,reason
468768,I have added my insight multiple times but you guys fail to answer my one query and ignore it completely. Now I want an answer here. Why should I suffer loss of Rs 5500 due to your mistake?,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
179303,Trying to set up for the 1st time but the app says my Amazon password is incorrect. no. it's not. any ideas?,Account / Login / Security,HIGH,Original label matches the customer's message content.
367916,"I hate you . It's Sunday, if my stuff I ordered Wednesday had come on time we wouldn't be in this situation",Delivery Delay,HIGH,Original label matches the customer's message content.
382243,iPhone X is out of stock or per order starts soon ?? Hype!!Waiting for ur reply,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
369260,That's exactly what she did. Bought it from Amazon / posted the review. But not thru your email to her. She posted via website.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
86119,"Just found out UPS showed up and left a notice about me not being here to receive the package, they did not even ring the bell.",Delivery Delay,HIGH,Original label matches the customer's message content.
236637,What is this in regards to I have contacted Customer Service still I no help received,Customer Support / Complaint,HIGH,Original label matches the customer's message content.
107272,Pathetic services from u guys.i have requested a refund for my order on 1st nov u stupids hv not picked it up and now asking me to courier the product back to seller fucking worst service ever seen in my life.i vow to not use your fucking app again,Return / Refund,HIGH,Original label matches the customer's message content.
666902,"It was shitty Lasership. Every time Amazon sends my package through then I never get it as scheduled. It still says delivered on my account, too.",Delivered but Not Received,HIGH,Original label matches the customer's message content.
354384,Tried with different Bank card ( which is already saved ) worked & able to place an order. Hope the earlier issue will resolve soon,Payment / Billing,HIGH,Original label matches the customer's message content.
233075,Is this Amazon's official promotion for the great Indian festival? I want to knw cuz this is doing lots of rounds now!,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
49958,Want one final answer. Will be u resolve my issue or not ? Delivered refurbished device and keeping calm. Not fair at all,Wrong / Damaged / Defective Item,HIGH,Original label matches the customer's message content.
293332,Ordered slipper got delayed by 4 days then it got cancelled. CC kept telling it will arrive next day.,Delivery Delay,HIGH,Original label matches the customer's message content.
936721,Except that the item is sold out and unavailable else where. So that doesn't help me. Thanks though.,Non-actionable / Exclude,HIGH,Original label matches the customer's message content.
