failure_rank,failure_mode,customer_message,actual,system_result,reason
1,Intent classification confusion,"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",Delivery Delay,Delivered but Not Received,This is an example of the most common classification confusion: Delivery Delay → Delivered but Not Received.
1,Intent classification confusion,"my order is still not fucking delivered , I want a fucking proper service",Delivery Delay,Delivered but Not Received,This is an example of the most common classification confusion: Delivery Delay → Delivered but Not Received.
2,Retrieval returns a wrong-intent historical case,"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",Delivery Delay,Delivered but Not Received,The top retrieved historical case had a different intent.
2,Retrieval returns a wrong-intent historical case,We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Return / Refund,Wrong / Damaged / Defective Item,The top retrieved historical case had a different intent.
3,Over-escalation of routine cases,Loosing hope that this will be delivered today 😩😩😩,AUTO_HANDLE,ESCALATE,Low classification confidence
3,Over-escalation of routine cases,That the items 'should' be delivered today... Although the app still says 22-24?,AUTO_HANDLE,ESCALATE,Low classification confidence
4,Complex cases incorrectly auto-handled,"My last package went missing while you people marked final status as ""Delivered"" It was a clear fraud and has happened with many known ones.",ESCALATE,AUTO_HANDLE,Sufficient confidence and retrieval
4,Complex cases incorrectly auto-handled,Need help with my amazon fire stick.,ESCALATE,AUTO_HANDLE,Sufficient confidence and retrieval
5,Generated response is only partially relevant,Loosing hope that this will be delivered today 😩😩😩,Delivery Delay,This request should be reviewed by a human support agent.,The automated response evaluation marked the response as PARTIAL.
5,Generated response is only partially relevant,That the items 'should' be delivered today... Although the app still says 22-24?,Delivery Delay,This request should be reviewed by a human support agent.,The automated response evaluation marked the response as PARTIAL.
