customer_tweet_id,customer_message,cluster,candidate_intent,notes,corrected_intent,change_reason,status
1108748,"My last package went missing while you people marked final status as ""Delivered"" It was a clear fraud and has happened with many known ones.",0,Delivered but Not Received,Tracking marked as delivered but package never arrived; customer calls it fraud.,Delivered but Not Received,,KEEP
1026974,Loosing hope that this will be delivered today 😩😩😩,0,Delivery Delay,Order not yet delivered; customer losing hope it arrives today.,Delivery Delay,,KEEP
445581,That the items 'should' be delivered today... Although the app still says 22-24?,0,Delivery Delay,Promised 'today' delivery conflicts with app showing a later 22-24 window.,Delivery Delay,,KEEP
438710,"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",0,Delivery Delay,Item was supposed to arrive on the 9th; courier claims non-serviceable area causing delay.,Delivery Delay,,KEEP
102904,Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product # Solve my problem can't solve.They don't have power.,0,Wrong / Damaged / Defective Item,Received fake/counterfeit speakers and seller won't replace with original product.,Wrong / Damaged / Defective Item,,KEEP
689491,your website says my parcel has been delivered and handed to me. It hasn’t. Please advise. I am sick of having to contact you because of terrible service.,0,Delivered but Not Received,"Website shows parcel delivered and handed over, but customer says it hasn't arrived.",Delivered but Not Received,,KEEP
163482,We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,0,Return / Refund,Items didn't match description so were returned; pickup/delivery-back process by the return team went wrong.,Return / Refund,,KEEP
584555,No birthday present for my grandson. Got a text saying delivered by 8pm. Yesterday. No delivery yet! Grrr,0,Delivery Delay,Was told item would arrive by 8pm the day before; still no delivery.,Delivery Delay,,KEEP
861277,"I'm a little sad/frustrated that my #FEWarriorsmore than likely won't be delivered today because of ""weather"". Amazon let me down again. :/",0,Delivery Delay,Order expected today likely won't arrive due to weather.,Delivery Delay,,KEEP
985101,as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,0,Delivery Delay,Estimated delivery window of about a month is seen as unacceptably long.,Delivery Delay,,KEEP
746813,"my order is still not fucking delivered , I want a fucking proper service",0,Delivery Delay,Order still not delivered; customer demanding proper service.,Delivery Delay,,KEEP
163638,"Hi, my parcel is showing as delivered at 16:18 but it isn't here, nor has it been left in any safe place or a note left?",0,Delivered but Not Received,Status shows delivered at a specific time but parcel is not at the location and no safe-place note left.,Delivered but Not Received,,KEEP
