customer_message,predicted_intent,generated_response,human_relevance,human_actionability,human_safety,human_grounding,human_overall,human_notes
"408-6016305-4794733 This is the order number. You track the history. If you can help, help me else I will take the loss and goodbye Amazon",Order Tracking / Status,This request should be reviewed by a human support agent.,,,,,,
We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,,,,,,
any reason why prime delivery of products showing as Monday? I ordered something on Friday thinking it would arrive today. Everything seems the same...,Delivery Delay,This request should be reviewed by a human support agent.,,,,,,
"my delivery date says pending, but before it said the 11th. Does this mean that you're unsure when I'll get my package?",Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",,,,,,
Pranam. Which language you guys understand.bcoz of your False commitment i give alternate Address. Dont want delivery sud atmp there,Payment / Billing,This request should be reviewed by a human support agent.,,,,,,
I HATE YOUR CUSTOMER SERVICE AHHHHHHHHHHHHH,Customer Support / Complaint,This request should be reviewed by a human support agent.,,,,,,
hai team amazon where is my refund amount,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",,,,,,
"This is the 3rd Amazon Prime order in a row that has missed the ""guaranteed delivery by"" date. All were shipped with AMZL US.",Order Tracking / Status,This request should be reviewed by a human support agent.,,,,,,
as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",,,,,,
No it was just everything that I looked at that is #prime doesn't show as being available to deliver the next day. I sort of suspected that you have dropped this for certain items.,Delivery Delay,This request should be reviewed by a human support agent.,,,,,,
I’ve found a parcel at my door that’s not mine.Googled address and it’s not recognised. How do I return it ?,Delivered but Not Received,This request should be reviewed by a human support agent.,,,,,,
I understand you guys are following up but it's already 72 hours past your initial timeline of 48-72 hours! Let me know a proper time line!,Delivery Delay,This request should be reviewed by a human support agent.,,,,,,
Day 4 no delivery no reply no response You all have from bad to horrible new levels of achieving customer satisfaction,Customer Support / Complaint,This request should be reviewed by a human support agent.,,,,,,
