customer_message,predicted_intent,generated_response,response_present,actionable,safe,intent_relevant,quality_score,quality
"My last package went missing while you people marked final status as ""Delivered"" It was a clear fraud and has happened with many known ones.",Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
Loosing hope that this will be delivered today 😩😩😩,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
That the items 'should' be delivered today... Although the app still says 22-24?,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product # Solve my problem can't solve.They don't have power.,Wrong / Damaged / Defective Item,"I'm sorry that you received an incorrect or damaged item. Please check the return or replacement options available for the order. If you need further help, please contact Amazon support.",True,True,True,True,4,GOOD
your website says my parcel has been delivered and handed to me. It hasn’t. Please advise. I am sick of having to contact you because of terrible service.,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
No birthday present for my grandson. Got a text saying delivered by 8pm. Yesterday. No delivery yet! Grrr,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"I'm a little sad/frustrated that my #FEWarriorsmore than likely won't be delivered today because of ""weather"". Amazon let me down again. :/",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
"my order is still not fucking delivered , I want a fucking proper service",Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Hi, my parcel is showing as delivered at 16:18 but it isn't here, nor has it been left in any safe place or a note left?",Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
"you have cheated me. guys never trust this brand. haven't delevered the product and saying your product is delivered. Investigation tram, delevery boy are your u making me fool.",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
That it was dispatched and attempted to be delivered at 5pm. But my mum was downstairs the entire time and I was upstairs the entire time. We heard nothing and there was no note.,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
Ordered a product on 24th Sept & gonna get delivered on 11th Oct I want it any how by 10th Oct. Ask the seller to deliver asap.,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"One of your teams told me to change my address to get delivered to, and lied in email telling me it would be here today. It's not.",Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"The orders are continuously being marked as delivered without actual delivery. Several complaints, no result #Pathetic #Unreliable",Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
Pathetic delivery service of Amazon in Pune....Order reached warehouse on Oct 11 and still not delivered till now....,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I order an item to be delivered on Friday delivery then says rescheduled at customer request which I didn’t then called amazon who said,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
The order was paid and the delivered option is showing signed by me this is offence of the privacy by your side,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
Need help with my amazon fire stick.,Product / App / Website Issue,"I'm sorry you're experiencing an issue with the Amazon website or app. Please try refreshing the page or restarting the app. If the problem continues, please contact Amazon support.",True,True,True,True,4,GOOD
