customer_tweet_id_x,customer_message,true_intent,predicted_intent,confidence,decision,escalation_reason,best_similarity,generated_response,retrieved_1_customer,retrieved_1_response,retrieved_1_intent,retrieved_1_intent_confidence,retrieved_1_similarity,retrieved_1_score,retrieved_1_intent_match,retrieved_2_customer,retrieved_2_response,retrieved_2_intent,retrieved_2_intent_confidence,retrieved_2_similarity,retrieved_2_score,retrieved_2_intent_match,retrieved_3_customer,retrieved_3_response,retrieved_3_intent,retrieved_3_intent_confidence,retrieved_3_similarity,retrieved_3_score,retrieved_3_intent_match,retrieved_4_customer,retrieved_4_response,retrieved_4_intent,retrieved_4_intent_confidence,retrieved_4_similarity,retrieved_4_score,retrieved_4_intent_match,retrieved_5_customer,retrieved_5_response,retrieved_5_intent,retrieved_5_intent_confidence,retrieved_5_similarity,retrieved_5_score,retrieved_5_intent_match,customer_tweet_id_y,corrected_intent,rank_1_intent_match,rank_2_intent_match,rank_3_intent_match,rank_4_intent_match,rank_5_intent_match,first_matching_rank
1108748,"My last package went missing while you people marked final status as ""Delivered"" It was a clear fraud and has happened with many known ones.",Delivered but Not Received,Delivered but Not Received,0.6506056,AUTO_HANDLE,Sufficient confidence and retrieval,0.6971824,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",@AmazonHelp How ma you chances will it take? Parcels have clearly been going 'missing' and nothing has changed. My parcel that was 'delivered' previously is still no where to be seen even though I've been assured that it's just an oversight and it will definitely be delivered... #emptywords,"@141801 I'm sorry you have not received your order, did you get a chance to fill out the form in the previous post, for us to contact you? -RD",Delivered but Not Received,0.56665194,0.6971824,0.7577459,1,@AmazonHelp my package was supposed to come today but I got an email saying that you failed to deliver it?? I don't understand since I said to leave it at the concierge,"@138681 I am very sorry about the troubles with your account, Megane! Let's see how we can help! Which Amazon site do you order from? ^FR",Delivered but Not Received,0.39211535,0.6873886,0.7499109,1,@AmazonHelp @115821 can you stop using your own horrible delivery services? 1 package arrived fine 1 package missing. Complete garbage.,"@137139 I'm very sorry for the poor experience, Jordan! This isn't the level of customer service we'd like for you to expect. I want to have a member of my team look into this for you. Please send us your details here: https://t.co/BiPEEG3Q8O ^FR",Delivered but Not Received,0.26580566,0.67877036,0.7430163,1,I'm facing more bullshitting by @115850 Another package of mine is shown 'delivered' yesterday @AmazonHelp Somethings wrong at amazon...,@120030 Apologies for the mix-up.I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.^SC,Delivered but Not Received,0.53233993,0.67814904,0.74251926,1,"@AmazonHelp I ordered roughly 11 items that were separated in to 3 packages. One is currently out of stock, one was dispatched and the other should have arrived today, but was never dispatched. I had an email after I ordered saying someone accessed my account.. (1/2)",@135790 We want to make sure both your shipping issue and account log-ins are looked into. Please reach out to us via phone here and we'll see what's going on: https://t.co/JzP7hlA23B ^MJ,Delivered but Not Received,0.33770952,0.67781776,0.7422542,1,1108748,Delivered but Not Received,True,True,True,True,True,1.0
1026974,Loosing hope that this will be delivered today 😩😩😩,Delivery Delay,Delivery Delay,0.27212226,ESCALATE,Low classification confidence,0.59276074,This request should be reviewed by a human support agent.,I expected something TODAY and now my delivery is for tomorrow by 8PM @AmazonHelp,@129590 Oh no! Did we miss the delivery date given on the confirmation email when order was placed? ^BA,Delivery Delay,0.4623194,0.59276074,0.6742086,1,"@AmazonHelp I’ve got a delivery for today. The last few deliveries on the Friday were never successful even though I was always home. Can you make sure this delivery comes today please, it’s very important! Thanks.",@145904 Hi. Is there any updated tracking information showing for the order: https://t.co/aaDyEz1VgE? ^DC,Delivery Delay,0.516816,0.5858036,0.66864294,1,@AmazonHelp I was just notified 2/3 packages have arrived at my home. Fingers crossed the last one comes today. 🙂,@143570 Are there any updates on the other parcel's tracking information: https://t.co/PyACxvY8Qo? ^ST,Delivery Delay,0.22231457,0.56435955,0.65148765,1,@AmazonHelp Ahhh okay makes sense :) thank you! I hope my package comes Friday 🙌,@119534 Please keep us posted as we want to make sure your order arrives! ^AG,Delivery Delay,0.21484712,0.55510765,0.6440861,1,@AmazonHelp It has just arrived. This is not the first time something has been out for delivery all day only to be delivered the next day or very late.,"@130272 Thanks for the update, Lynn! I'm glad to hear your delivery has arrived! ^SW",Delivery Delay,0.320936,0.53846556,0.6307725,1,1026974,Delivery Delay,True,True,True,True,True,1.0
445581,That the items 'should' be delivered today... Although the app still says 22-24?,Delivery Delay,Delivery Delay,0.42535314,ESCALATE,Low classification confidence,0.63798094,This request should be reviewed by a human support agent.,@AmazonHelp This is what it says! It doesn't make sense because it says it will be delivered the next day but the same day it was 'delivered' https://t.co/DBjgUldaos,@134342 Have you had a chance to look around to see if your order was delivered to a safe-place or to a neighbour on your behalf?^PJ,Delivery Delay,0.39004546,0.63798094,0.7103847,1,@AmazonHelp It said it would be delivered by 8pm today on the app,@131075 Thanks for the information! Please reach out to us via phone or chat here: https://t.co/JzP7hlA23B ^AJ,Delivery Delay,0.39403322,0.628147,0.7025176,1,@AmazonHelp Shows as ‘on its way’ and only having left carrier depot at 9.40pm this evening. Delivery is by Amazon Logistics. App still shows the delivery date as today but when I go through the support section of the app it tells me scheduled delivery is tomorrow (30th),"@131427 Hi, If the parcel is not with you by the 30th, please do let us know Here are some safe place options if you are not available for the delivery: https://t.co/TwFGvxbNe6 ^CR",Delivery Delay,0.32922748,0.62006676,0.69605345,1,@AmazonHelp Recieved an email saying my delivery is coming tonight but on my app it says tomorrow. Which is it? This is becoming a bit of a farce,@145862 I understand your frustration! We expect it to arrive today if this was the most recent notification. Please keep us posted on the arrival. ^SJ,Delivery Delay,0.21914269,0.61643577,0.6931486,1,"@AmazonHelp Yes, and the app told me it was going to be there by 8, until after 8. Then it was pushed back two days. That tells anyone with a brain that your app shouldn’t be telling people that","@132146 Hi Brian. It sounds like an unexpected delay, it can take some time for the tracking to update. Please keep us posted on when your order does arrive and if you experience any further delays. ^NV",Delivery Delay,0.21943049,0.61003697,0.6880296,1,445581,Delivery Delay,True,True,True,True,True,1.0
438710,"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",Delivery Delay,Delivered but Not Received,0.38982186,ESCALATE,Low classification confidence,0.6107892,This request should be reviewed by a human support agent.,@AmazonHelp What is this ? Two days in a row it has gone to wrong courier facility ? No follow ups from amazon !! https://t.co/ixGAtTiBR0,"@121649 Sorry about that. I’d like to help you, please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SY",Delivered but Not Received,0.271453,0.6107892,0.68863136,1,"@115830 I get things delivered to work but your guys often deliver after hours (registered business address). Had a call from the neighbour this morning, my things had been left in his front garden. They'd not seen a courier and I had no card! Could've been rained on or nicked!","@131821 I'm sorry to hear this, Mat. Can you contact us so we can look into this further? You can reach us here: https://t.co/oGDklFYAep. ^PJ",Delivered but Not Received,0.60576934,0.6070441,0.68563527,1,@AmazonHelp I was sent regular emails that it was with the courier and It will be delivered yesterday. That parcel is supposed to be on an international flight now to someone that is sick. The fact that I was lied to and made to wait all day for something that wasn't even out for delivery,"@146420 Hi, I can certainly understand the importance of this parcel. Have we updated the tracking on the parcel ? Will the item still be needed as its arriving late? ^CR",Delivered but Not Received,0.48248512,0.6046401,0.6837121,1,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Delivered but Not Received,0.3535221,0.59822667,0.67858136,1,"Really #Shameful #service by @2005 courier services, order not delivered yet and status is order delivered, its 5th time with me then think how many people facing same situation #WeekendWithBB11 #CycloneOckhi #IntelliPAD #DeshKaSmartphone #TravelWithEaseMyTrip https://t.co/Jfe78J9qoL",@133018 We apologize for the tracking update issues. Please report this to our support team here: https://t.co/rS49hgaADF so that they can assist you accordingly. ^BV,Delivered but Not Received,0.29226542,0.5965971,0.6772777,1,438710,Delivery Delay,False,False,False,False,False,
102904,Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product # Solve my problem can't solve.They don't have power.,Wrong / Damaged / Defective Item,Wrong / Damaged / Defective Item,0.55913645,AUTO_HANDLE,Sufficient confidence and retrieval,0.96795917,"I'm sorry that you received an incorrect or damaged item. Please check the return or replacement options available for the order. If you need further help, please contact Amazon support.",Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product #@115851 Solve my problem @AmazonHelp can't solve.They don't have power. @118342 @119341,@131812 We have responded to your query here: https://t.co/uXtdCq61hZ. Request you to check with the same. ^GD,Wrong / Damaged / Defective Item,0.43895134,0.96795917,0.9743673,1,Amazon Selling Fake Bose Speakers in India #Not offering Replacement #Fake Discount @AmazonHelp @ Amazon Scam in India #Poor CX #@5340 @131283 @132458 @132460 @119341 @115851 @121927 @135788 @5341 @135789 @135788 @5342 @1755,@131812 Apologies for the unpleasant experience. We've responded to you here : https://t.co/0VU3p1Z7Gh. Kindly reach out to us in the link provided for further assistance. ^PR,Wrong / Damaged / Defective Item,0.50028306,0.67401576,0.73921263,1,Amazon Selling Fake / Copy product of @4770 in India # Amazon is not replacing to original product#Since All Bose Products they have is fake @115821 @AmazonHelp @115850 scam in India @120844 @131283,@131812 All sellers are committed to sell only genuine products on our platform. Request you to kindly respond to the email sent to you by our team for further assistance.^GD,Wrong / Damaged / Defective Item,0.6898894,0.6002047,0.6801638,1,Amazon offering Fake Discounts #Fake Bose Products in India #lets uninstall Amazon from India #Daylight robbery by #@AmazonHelp #@115850 #JeffBezos #Amazon India is Cheating Customer#,@131812 We have already responded to your query here: https://t.co/SqHpT4ssCu. Kindly proceed further to get this sorted. ^SC,Wrong / Damaged / Defective Item,0.36618286,0.5743108,0.6594486,1,"@AmazonHelp You're customer service I spoke just now , they can't solve my problem. They don't have power","@131812 We've responded to you. Please check for our email from social media team. In case, you need more assistance, please reach out to us bu replying to it. ^HS",Wrong / Damaged / Defective Item,0.20277934,0.5505624,0.64044994,1,102904,Wrong / Damaged / Defective Item,True,True,True,True,True,1.0
689491,your website says my parcel has been delivered and handed to me. It hasn’t. Please advise. I am sick of having to contact you because of terrible service.,Delivered but Not Received,Delivered but Not Received,0.665759,AUTO_HANDLE,Sufficient confidence and retrieval,0.8324119,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",@AmazonHelp Your site is saying my parcel has been delivered. But no parcel has been received. Please help 😀,@151196 I'm sorry you haven't received your order! Have you tried all these steps to locate your package: https://t.co/JAfAbrCEjf? ^ME,Delivered but Not Received,0.63713163,0.8324119,0.8659295,1,"@AmazonHelp My delivery was scheduled for yesterday (booked it a week ago), and until now I did not receive the parcel","@132470 I'm so sorry that your parcel is late, Agnes. Do you have any updated tracking information to show when it might arrive? You can see your tracking information here: https://t.co/aaDyEz1VgE ^SP",Delivered but Not Received,0.49091578,0.75196505,0.801572,1,@AmazonHelp So to continue this saga. It now shows that my parcel has been delivered and handed to a resident. I can assure you it most certainly hasn't and I still do not have my order!,"@145862 Hey Joel, have you checked with any of your neighbours? You can find more info on how to locate your parcel here: https://t.co/8RCJbNVYLd ^MA",Delivered but Not Received,0.74355465,0.7442774,0.79542196,1,@AmazonHelp Is anybody going to contact me about this because I'm now unsure if I'm even going to receive my parcel???,"@140838 Hi, we received your details and are raising it with the relevant team. We'll be in touch as soon as we have received an update. ^KI",Delivered but Not Received,0.3172158,0.74170387,0.7933631,1,@AmazonHelp website says my parcel was 'handed directly to the customer' and it definitely wasn't!,"@132996 I'm sorry you don't have your parcel! We'd like to help! To start, here are some quick tips to help locate a delivered parcel: https://t.co/gq9RKVQhPm ^TK",Delivered but Not Received,0.70422506,0.73597634,0.78878105,1,689491,Delivered but Not Received,True,True,True,True,True,1.0
163482,We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Return / Refund,Wrong / Damaged / Defective Item,0.37868774,ESCALATE,Low classification confidence,0.96980023,This request should be reviewed by a human support agent.,@AmazonHelp We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,@153814 We're sorry to know about the trouble with your order. We'd like to help you. Kindly report this to our support team here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SM,Wrong / Damaged / Defective Item,0.37001336,0.96980023,0.9758402,1,@AmazonHelp The main reason is that you never send the thing which I have ordered and the product is damaged.,"@146119 I'm sorry to know that the product you've received wasn't as expected. Kindly report this to our support team here:https://t.co/vlvfJr4nN9 & we'll have this checked right away. Also, I'll pass on your feedback internally to ensure such instances aren't repeated. ^EM",Wrong / Damaged / Defective Item,0.2798296,0.5535319,0.64282554,1,"@AmazonHelp i just received my replacement order. one item is fine, the other has arrived in just as bad condition, if not worse, than before. less than impressed 😩",@147815 That isn't good! Can you please reach out to us directly about this as we may need to have the product investigated. Please contact us via the following link: https://t.co/JzP7hlA23B ^KI,Wrong / Damaged / Defective Item,0.7785421,0.5275402,0.62203217,1,@AmazonHelp The issue is that it says that the package was delivered and left on my doorstep but they didn't knock on the door or anything like that so I never received the 2nd part of my package.,"@138292 I'm sorry you haven't received your package, Justin! Have you tried these tips for locating missing packages scanned as delivered: https://t.co/ceBxNMjsQe ? ^TH",Wrong / Damaged / Defective Item,0.34213933,0.51246,0.609968,1,"Hello @115821 I received my package, however the packaging and really not suitable. The product is damaged. @AmazonHelp Can you help me !? https://t.co/kPReKB3UJW","@151995 Hello, I am sorry for that. Who is the carrier in charge of the delivery? ^MD",Wrong / Damaged / Defective Item,0.6563257,0.4838963,0.587117,1,163482,Return / Refund,False,False,False,False,False,
584555,No birthday present for my grandson. Got a text saying delivered by 8pm. Yesterday. No delivery yet! Grrr,Delivery Delay,Delivery Delay,0.4040518,ESCALATE,Low classification confidence,0.6482111,This request should be reviewed by a human support agent.,"Today is the twins’ 4th Birthday. This is their gift from us - ordered on Sunday with Amazon Prime. We were assured yesterday that it would arrive today but I have just received this message. I understand that these things happen, but I’m hoping you can work some magic @115830 https://t.co/IrX4jcLN6Z",@134818 Sorry about the delivery delay especially considering it is for a birthday gift. Was a new expected delivery provided on the tracking? ^NV,Delivery Delay,0.30515853,0.6482111,0.7185689,1,"Every day for three days I've gotten ""your package is arriving today"" emails from @115821 for a Black Friday purchase and for my regular subscribe and save shipment.... Christmas is far enough away but Mama needs those diapers and wipes, people!","@133885 So sorry about the delay, Candice! Can you let us know who the carrier for the shipment is? https://t.co/Y5jpI9gRhE ^GS",Delivery Delay,0.38227808,0.5933019,0.67464155,1,"@115821 who's going to explain the lack of a present tomorrow to a 4 year old because you can't keep delivery promises? Ordered weds for today, now coming monday.. not good enough 😠😡 cancelling prime. Not worth it.","@155472 I'm so sorry for the frustration, Kelly! We strive to meet the delivery date shown at check out. What is the expected delivery date shown in your order confirmation e-mail? You can check here: https://t.co/uamD5yHyu0 ^JP",Delivery Delay,0.39432418,0.56926835,0.6554147,1,@115830 & @122232 so far 6 days for next day delivery and counting. After 3 text to say it being delivered tomorrow. Result missed dilivery opportunity for Xmas gifts to be delivered. #fail #ruinedChristmas,"@137854 Hi Alex, sorry to hear about the delay in receiving your parcels! Have you received an e-mail update on delivery? What is the current tracking status of the items? You can check that here: https://t.co/aaDyEz1VgE. We're here to help in any way we can! ^AZ",Delivery Delay,0.3916371,0.5644748,0.65157986,1,@AmazonHelp It has just arrived. This is not the first time something has been out for delivery all day only to be delivered the next day or very late.,"@130272 Thanks for the update, Lynn! I'm glad to hear your delivery has arrived! ^SW",Delivery Delay,0.320936,0.5579565,0.6463652,1,584555,Delivery Delay,True,True,True,True,True,1.0
861277,"I'm a little sad/frustrated that my #FEWarriorsmore than likely won't be delivered today because of ""weather"". Amazon let me down again. :/",Delivery Delay,Delivery Delay,0.38213968,ESCALATE,Low classification confidence,0.6101332,This request should be reviewed by a human support agent.,@AmazonHelp There are two deliveries due today. Designated delivery isn’t out for delivery. Replacement order hasn’t been dispatched. Amazon need to manage expectations. Don’t offer designated or prime delivery at this time of year and we’d know what to expect!,@147309 I'm sorry for any inconvenience this has caused! Deliveries can be made up until 21:00. Please let us know if your parcels don't arrive by then. Thank you! ^WB,Delivery Delay,0.33580142,0.6101332,0.68810654,1,"@AmazonHelp I only have one last question, why is there no next day delivery on anything for me? All the one day delivery options say Tuesday.","@148044 Hi there, I'm sorry you don't seem to have the next day delivery option. Not all addresses are eligible for next day. Please take a look here for more details, https://t.co/XTqs7lEJGe -RD",Delivery Delay,0.44805464,0.6066958,0.6853566,1,@AmazonHelp once again can you tell me why my one day delivery items haven’t even been dispatched yet and are supposed to be here today?,"@121279 Hi Sian, orders are often dispatched & delivered on the same day, as our carriers deliver until 9pm. ^TS",Delivery Delay,0.33548185,0.60194534,0.6815563,1,"@AmazonHelp I’ve got a delivery for today. The last few deliveries on the Friday were never successful even though I was always home. Can you make sure this delivery comes today please, it’s very important! Thanks.",@145904 Hi. Is there any updated tracking information showing for the order: https://t.co/aaDyEz1VgE? ^DC,Delivery Delay,0.516816,0.58866584,0.6709327,1,you've left two things off my order @115830 who do I complain too and when can it get delivered tonight? It was a prime now order.,"@155058 Please get in touch through the app, or by Phone/Chat here: https://t.co/JzP7hlA23B. I hope this helps! ^EZ",Delivery Delay,0.31314915,0.58618146,0.6689452,1,861277,Delivery Delay,True,True,True,True,True,1.0
985101,as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,Delivery Delay,Delivery Delay,0.54983544,AUTO_HANDLE,Sufficient confidence and retrieval,0.63558006,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.","@AmazonHelp 1/2 Safe to say won't be delivered this evening How long do I have to wait? If I have to reorder which seems highly likely, Friday delivery",@128891 I'm sorry for this delay. We'd like to have someone look into this w/ you. Please contact us here: https://t.co/hApLpMlfHN ^HS,Delivery Delay,0.5766161,0.63558006,0.708464,1,"@AmazonHelp Called USPS for delivery info. Estimated hold time for the next representative is FIFTY MINUTES. As YOUR customer, I shouldn't be doing this",@120034 We're able to contact the carrier on your behalf using the link ^LH provided above. ^KP,Delivery Delay,0.36550835,0.6354876,0.7083901,1,"@AmazonHelp Yes, but I also received a new (incorrect) delivery date on Monday. I spent a few hours on the phone with UPS today, maybe tomorrow will be different. I'm not concerned with the delay itself, I am with the inaccuracy. Don't call it an guarantee if it's gonna take 2x as long.",@130704 Thanks for keeping us informed. Please keep us posted about the delivery tomorrow and let us know if there are any further issues.^PJ,Delivery Delay,0.68186903,0.6304913,0.704393,1,@AmazonHelp How long does it usually take to ship orders?,@157496 Shipping times vary based on a number of factors. We aim to meet the delivery date shown during checkout and confirmed via e-mail. Have we missed this date? ^SB,Delivery Delay,0.29618675,0.62550986,0.70040786,1,"@AmazonHelp The agent is advising I continue to wait. I understand that, but it’s pretty common that my orders are marked delivered when they never were. Delivery is very unreliable!",@124653 Is this occurring with a specific carrier? Have you noticed any trends when this occurs? ^CO,Delivery Delay,0.3256368,0.61228925,0.68983144,1,985101,Delivery Delay,True,True,True,True,True,1.0
